Participant,Posture,Direction,Range
9,Lying,Left,91.8923
9,Lying,Left,102.6238
9,Lying,Left,105.6792
9,Lying,DownRight,138.0478
9,Lying,DownRight,144.0229
9,Lying,DownRight,147.7867
9,Lying,UpLeft,3.471529
9,Lying,UpLeft,2.40371
9,Lying,UpLeft,78.7684
10,Lying,UpLeft,24.47015
10,Lying,UpLeft,23.07537
10,Lying,UpLeft,17.92862
10,Lying,Down,29.48112
10,Lying,Down,36.29864
10,Lying,Down,42.23732
10,Lying,UpRight,21.73279
10,Lying,UpRight,15.76686
10,Lying,UpRight,19.07572
10,Lying,Right,21.78572
10,Lying,Right,24.14973
10,Lying,Right,25.45453
10,Lying,Up,17.66006
10,Lying,Up,19.1102
10,Lying,Up,21.53218
10,Lying,DownLeft,36.04486
10,Lying,DownLeft,29.65594
10,Lying,DownLeft,28.78976
10,Lying,Left,32.89094
10,Lying,Left,27.79881
10,Lying,Left,28.34031
10,Lying,DownRight,49.6864
10,Lying,DownRight,50.18841
10,Lying,DownRight,53.36959
11,Lying,Left,74.15862
11,Lying,Left,78.92841
11,Lying,Left,81.22784
11,Lying,DownRight,66.21121
11,Lying,DownRight,61.75242
11,Lying,DownRight,65.52911
11,Lying,UpLeft,43.37873
11,Lying,UpLeft,43.38356
11,Lying,UpLeft,37.45509
11,Lying,Down,37.3379
11,Lying,Down,39.86026
11,Lying,Down,44.29885
11,Lying,UpRight,45.53685
11,Lying,UpRight,45.41625
11,Lying,UpRight,44.61608
11,Lying,Right,72.67011
11,Lying,Right,75.7094
11,Lying,Right,74.57513
11,Lying,Up,38.51784
11,Lying,Up,33.81714
11,Lying,Up,34.70186
11,Lying,DownLeft,76.25116
11,Lying,DownLeft,82.63818
11,Lying,DownLeft,87.78039
12,Lying,Left,46.35373
12,Lying,Left,71.26547
12,Lying,Left,80.59841
12,Lying,DownRight,66.51028
12,Lying,DownRight,63.14722
12,Lying,DownRight,72.36434
12,Lying,UpLeft,64.67461
12,Lying,UpLeft,63.6309
12,Lying,UpLeft,72.61248
12,Lying,Down,17.23304
12,Lying,Down,20.98121
12,Lying,Down,27.23233
12,Lying,UpRight,52.45759
12,Lying,UpRight,64.70469
12,Lying,UpRight,57.51715
12,Lying,Right,85.3945
12,Lying,Right,79.24265
12,Lying,Right,83.13329
12,Lying,Up,47.72734
12,Lying,Up,56.12539
12,Lying,Up,58.05112
12,Lying,DownLeft,52.33372
12,Lying,DownLeft,67.68868
12,Lying,DownLeft,75.88129
13,Lying,Down,18.11686
13,Lying,Down,15.49841
13,Lying,Down,13.79454
13,Lying,UpRight,20.44035
13,Lying,UpRight,21.12904
13,Lying,UpRight,20.65174
13,Lying,Right,49.05125
13,Lying,Right,49.8222
